время скорость угол_траектории высота угол_тангажа угловая_скорость_тангажа
6.95997 103.839 0.620246 0.11188 0.649582 0.000828646
7.00997 105.447 0.640076 0.115038 0.65648 0.000891869
7.05997 107.106 0.660613 0.118296 0.663679 0.00095944
7.10997 108.816 0.681875 0.121659 0.671189 0.00103165
7.15997 110.579 0.703878 0.125131 0.67902 0.00110879
7.20997 112.398 0.726636 0.128714 0.687182 0.0011912
7.25997 114.273 0.750162 0.132414 0.695685 0.0012792
7.30997 116.206 0.774467 0.136233 0.70454 0.00137316
7.35997 118.199 0.799565 0.140176 0.713757 0.00147345
7.40998 120.255 0.82547 0.144247 0.723349 0.00158047
7.45998 122.374 0.852198 0.14845 0.733325 0.00169466
7.50998 124.559 0.879766 0.152789 0.743699 0.00181646
7.55998 126.813 0.908195 0.157268 0.754483 0.00194637
7.60998 129.136 0.93751 0.161892 0.765688 0.0020849
7.65998 131.532 0.967737 0.166665 0.777327 0.00223261
7.70998 134.002 0.998905 0.171591 0.789414 0.00239008
7.75998 136.549 1.03105 0.176677 0.801963 0.00255796
7.80998 139.175 1.0642 0.181926 0.814987 0.00273692
7.85998 141.883 1.0984 0.187343 0.828501 0.00292768
7.90999 144.675 1.1337 0.192935 0.84252 0.00313102
7.95999 147.554 1.17012 0.198707 0.85706 0.00334776
8.00999 150.523 1.20772 0.204664 0.872136 0.00357879
8.05999 153.584 1.24655 0.210812 0.887766 0.00382504
8.10999 156.74 1.28664 0.217158 0.903967 0.00408752
8.15999 159.994 1.32806 0.223708 0.920758 0.0043673
8.20999 163.35 1.37084 0.23047 0.938155 0.00466551
8.25999 166.81 1.41505 0.237449 0.95618 0.00498337
8.30999 170.377 1.46072 0.244653 0.974851 0.00532218
8.36 174.056 1.50792 0.25209 0.99419 0.00568331
8.41 177.849 1.5567 0.259767 1.01422 0.00606821
8.46 181.76 1.6071 0.267693 1.03496 0.00647847
8.51 185.792 1.6592 0.275875 1.05643 0.00691573
8.56 189.95 1.71303 0.284323 1.07866 0.00738177
8.61 194.237 1.76867 0.293045 1.10167 0.00787847
8.66 198.658 1.82618 0.30205 1.12549 0.00840784
8.71 203.216 1.88561 0.311348 1.15014 0.00897203
8.76 207.916 1.94704 0.32095 1.17565 0.00957332
8.81001 212.762 2.01053 0.330863 1.20205 0.0102142
8.86001 217.758 2.07616 0.341101 1.22937 0.0108971
8.91001 222.91 2.144 0.351673 1.25764 0.011625
8.96001 228.223 2.21414 0.36259 1.28688 0.0124007
9.01001 233.7 2.28664 0.373864 1.31714 0.0132275
9.06001 239.348 2.36161 0.385508 1.34844 0.0141086
9.11001 245.171 2.43914 0.397534 1.38081 0.0150478
9.16001 251.175 2.5193 0.409955 1.4143 0.0160487
9.21001 257.366 2.60222 0.422784 1.44894 0.0171157
9.26001 263.75 2.68798 0.436036 1.48477 0.0182529
9.31002 270.331 2.7767 0.449725 1.52183 0.0194651
9.36002 277.118 2.86849 0.463866 1.56016 0.0207573
9.41002 284.115 2.96347 0.478474 1.59979 0.0221348
9.46002 291.33 3.06176 0.493567 1.64079 0.0236033
9.51002 298.77 3.16349 0.509161 1.68319 0.025169
9.56002 306.44 3.26879 0.525273 1.72703 0.0268382
9.61002 314.349 3.37779 0.541921 1.77237 0.028618
9.66002 322.503 3.49065 0.559126 1.81927 0.0305157
9.71002 330.911 3.60752 0.576905 1.86776 0.0325394
9.76003 339.58 3.72855 0.595281 1.91792 0.0346975
9.81003 348.518 3.8539 0.614273 1.96978 0.036999
9.86003 357.735 3.98375 0.633905 2.02342 0.0394536
9.91003 367.237 4.11828 0.654198 2.0789 0.0420718
9.96003 377.034 4.25767 0.675178 2.13627 0.0448645
